language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,發達,fādá ,fādá,fádá,fādà,fàdá,developed; advanced,這個城市的交通很發達。,zhège chéngshì de jiāotōng hěn fādá.,Transportation in this city is well developed.,B2,society,adjective,Core Content,
Taiwan Mandarin,發揮,fāhuī ,fāhuī,fáhuī,fāhuǐ,fàhuī,to bring into play; to make use of,比賽時要發揮自己的實力。,bǐsài shí yào fāhuī zìjǐ de shílì.,"During the competition, you should make use of your ability.",B2,actions,verb,Core Content,
Taiwan Mandarin,發覺,fājué ,fājué,fájué,fājuè,fàjué,to discover; to realize,我發覺他的心情不太好。,wǒ fājué tā de xīnqíng bú tài hǎo.,I realized that he was not in a very good mood.,B2,thinking,verb,Core Content,
Taiwan Mandarin,發明,fāmíng ,fāmíng,fámíng,fāmìng,fàmíng,to invent; invention,電燈是重要的發明。,diàndēng shì zhòngyào de fāmíng.,The electric light is an important invention.,B2,technology,noun,Core Content,
Taiwan Mandarin,犯,fàn ,fàn,fān,fán,fǎn,to commit; to violate,不要再犯同樣的錯誤。,bú yào zài fàn tóngyàng de cuòwù.,Do not make the same mistake again.,B2,behavior,verb,Core Content,
Taiwan Mandarin,反而,fănér ,fǎnér,fànér,fǎnèr,fánér,instead; on the contrary,他沒休息，反而繼續工作。,"tā méi xiūxi, fǎn'ér jìxù gōngzuò.","He did not rest; instead, he continued working.",B2,function,adverb,Core Content,
Taiwan Mandarin,方式,fāngshì ,fāngshì,fángshì,fāngshí,fàngshì,method; way,這種學習方式很有效。,zhè zhǒng xuéxí fāngshì hěn yǒuxiào.,This learning method is effective.,B2,ideas,noun,Core Content,
Taiwan Mandarin,房客,fángkè ,fángkè,fǎngkè,fángké,fāngkè,tenant,房客下個月要搬走。,fángkè xià ge yuè yào bān zǒu.,The tenant will move out next month.,B2,housing,noun,Core Content,
Taiwan Mandarin,訪問/訪,făngwèn ,fǎngwèn,fàngwèn,fǎngwén,fángwèn,to visit; to interview,記者訪問了那位導演。,jìzhě fǎngwèn le nà wèi dǎoyǎn.,The reporter interviewed that director.,B2,communication,verb,Core Content,
Taiwan Mandarin,煩惱,fánnăo ,fánnǎo,fǎnnǎo,fánnāo,fānnǎo,worry; trouble,他最近有很多煩惱。,tā zuìjìn yǒu hěn duō fánnǎo.,He has many worries recently.,B2,feelings,noun,Core Content,
Taiwan Mandarin,範圍,fànwéi ,fànwéi,fānwéi,fànwèi,fǎnwéi,range; scope,這次考試的範圍很大。,zhè cì kǎoshì de fànwéi hěn dà.,The scope of this test is large.,B2,education,noun,Core Content,
Taiwan Mandarin,翻譯/翻/譯,fānyì/fān/yì ,fānyì/fān/yì,fányì/fān/yì,fānyí/fān/yì,fānyì/fàn/yì,to translate; translation,請幫我翻譯這封信。,qǐng bāng wǒ fānyì zhè fēng xìn.,Please help me translate this letter.,B2,language,verb,Core Content,
Taiwan Mandarin,反應,fănyìng ,fǎnyìng,fànyìng,fǎnyíng,fányìng,reaction; to react,學生對新規定反應很好。,xuéshēng duì xīn guīdìng fǎnyìng hěn hǎo.,The students reacted well to the new rule.,B2,communication,noun,Core Content,
Taiwan Mandarin,發票,fāpiào ,fāpiào,fápiào,fāpiáo,fàpiào,receipt; invoice,買東西時請記得拿發票。,mǎi dōngxi shí qǐng jìde ná fāpiào.,"When buying things, please remember to take the receipt.",B2,shopping,noun,Core Content,
Taiwan Mandarin,發脾氣,fāpíqì ,fāpíqì,fápíqì,fāpìqì,fāpíqǐ,to lose one's temper,別為了小事發脾氣。,bié wèile xiǎoshì fāpíqì.,Do not lose your temper over small things.,B2,feelings,verb phrase,Core Content,
Taiwan Mandarin,非,fēi ,fēi,féi,fěi,fèi,not; non-; must,這件事非你幫忙不可。,zhè jiàn shì fēi nǐ bāngmáng bùkě.,"For this matter, we absolutely need your help.",B2,function,adverb,Core Content,
Taiwan Mandarin,費用,fèiyòng ,fèiyòng,fēiyòng,fèiyóng,fěiyòng,fee; expense,這個課程的費用不高。,zhège kèchéng de fèiyòng bù gāo.,The fee for this course is not high.,B2,money,noun,Core Content,
Taiwan Mandarin,豐富,fēngfù ,fēngfù,féngfù,fēngfú,fèngfù,rich; abundant,這本書的內容很豐富。,zhè běn shū de nèiróng hěn fēngfù.,The content of this book is rich.,B2,description,adjective,Core Content,
Taiwan Mandarin,風格,fēnggé ,fēnggé,fénggé,fēnggè,fènggé,style,這家咖啡店的風格很特別。,zhè jiā kāfēidiàn de fēnggé hěn tèbié.,This cafe has a very special style.,B2,arts,noun,Core Content,
Taiwan Mandarin,風俗,fēngsú ,fēngsú,féngsú,fēngsù,fèngsú,custom; tradition,不同地方有不同的風俗。,bùtóng dìfang yǒu bùtóng de fēngsú.,Different places have different customs.,B2,culture,noun,Core Content,
Taiwan Mandarin,分開,fēnkāi ,fēnkāi,fénkāi,fēnkǎi,fènkāi,to separate,請把垃圾和回收物分開。,qǐng bǎ lèsè hé huíshōu wù fēnkāi.,Please separate the garbage and recyclables.,B2,actions,verb,Core Content,
Taiwan Mandarin,佛教,Fójiào,Fójiào,Fǒjiào,Fójiáo,Fōjiào,Buddhism,佛教在亞洲有很長的歷史。,Fójiào zài Yàzhōu yǒu hěn cháng de lìshǐ.,Buddhism has a long history in Asia.,B2,culture,proper noun,Core Content,
Taiwan Mandarin,否則,fŏuzé ,fǒuzé,fòuzé,fǒuzè,fóuzé,otherwise,你要早點出門，否則會遲到。,"nǐ yào zǎodiǎn chūmén, fǒuzé huì chídào.","You should leave earlier, otherwise you will be late.",B2,function,conjunction,Core Content,
Taiwan Mandarin,夫婦,fūfù ,fūfù,fúfù,fūfú,fùfù,married couple,那對夫婦在附近開了一家店。,nà duì fūfù zài fùjìn kāi le yì jiā diàn.,That married couple opened a shop nearby.,B2,relationships,noun,Core Content,
Taiwan Mandarin,符合,fúhé ,fúhé,fǔhé,fúhè,fūhé,to match; to meet,這個答案不符合題目的要求。,zhège dáàn bù fúhé tímù de yāoqiú.,This answer does not meet the question’s requirements.,B2,ideas,verb,Core Content,
Taiwan Mandarin,福利,fúlì ,fúlì,fǔlì,fúlí,fūlì,welfare; benefits,公司提供很好的員工福利。,gōngsī tígōng hěn hǎo de yuángōng fúlì.,The company provides good employee benefits.,B2,work,noun,Core Content,
Taiwan Mandarin,服裝,fúzhuāng ,fúzhuāng,fǔzhuāng,fúzhuǎng,fūzhuāng,clothing; costume,表演者的服裝很漂亮。,biǎoyǎnzhě de fúzhuāng hěn piàoliang.,The performers’ costumes are beautiful.,B2,clothing,noun,Core Content,
Taiwan Mandarin,腐敗,fŭbài ,fǔbài,fùbài,fǔbái,fúbài,corrupt; rotten,政府應該避免腐敗。,zhèngfǔ yīnggāi bìmiǎn fǔbài.,The government should avoid corruption.,B2,society,noun,Core Content,
Taiwan Mandarin,付出,fùchū ,fùchū,fūchū,fùchǔ,fǔchū,to give; to put in effort,成功需要付出時間和努力。,chénggōng xūyào fùchū shíjiān hé nǔlì.,Success requires putting in time and effort.,B2,goals,verb,Core Content,
Taiwan Mandarin,負擔,fùdān ,fùdān,fūdān,fùdǎn,fǔdān,burden; to bear,房租對學生來說是很大的負擔。,fángzū duì xuéshēng lái shuō shì hěn dà de fùdān.,Rent is a big burden for students.,B2,money,noun,Core Content,
Taiwan Mandarin,複習,fùxí ,fùxí,fūxí,fùxì,fǔxí,to review,考試以前，我每天複習一小時。,"kǎoshì yǐqián, wǒ měitiān fùxí yì xiǎoshí.","Before the test, I review for one hour every day.",B2,education,verb,Core Content,
Taiwan Mandarin,負責,fùzé ,fùzé,fūzé,fùzè,fǔzé,to be responsible for,他負責安排這次活動。,tā fùzé ānpái zhè cì huódòng.,He is responsible for arranging this event.,B2,work,verb,Core Content,
Taiwan Mandarin,該,gāi ,gāi,gái,gǎi,gài,should; ought to,你該休息一下了。,nǐ gāi xiūxi yíxià le.,You should rest a little.,B2,function,modal,Core Content,
Taiwan Mandarin,改變,găibiàn ,gǎibiàn,gàibiàn,gǎibián,gáibiàn,to change,這次經驗改變了我的想法。,zhè cì jīngyàn gǎibiàn le wǒ de xiǎngfǎ.,This experience changed my thinking.,B2,change,verb,Core Content,
Taiwan Mandarin,改進,găijìn ,gǎijìn,gàijìn,gǎijín,gáijìn,to improve; to make better,我們需要改進服務品質。,wǒmen xūyào gǎijìn fúwù pǐnzhí.,We need to improve service quality.,B2,work,verb,Core Content,
Taiwan Mandarin,改善,găishàn ,gǎishàn,gàishàn,gǎishán,gáishàn,to improve,多運動可以改善健康。,duō yùndòng kěyǐ gǎishàn jiànkāng.,Exercising more can improve health.,B2,health,verb,Core Content,
Taiwan Mandarin,改天,găitiān ,gǎitiān,gàitiān,gǎitiǎn,gáitiān,another day,今天太忙了，改天再聊吧。,"jīntiān tài máng le, gǎitiān zài liáo ba.",Today is too busy; let’s talk another day.,B2,time,adverb,Core Content,
Taiwan Mandarin,蓋,gài ,gài,gāi,gái,gǎi,to cover; to build,他們正在蓋新公寓。,tāmen zhèngzài gài xīn gōngyù.,They are building a new apartment building.,B2,housing,verb,Core Content,
Taiwan Mandarin,概念,gàiniàn ,gàiniàn,gāiniàn,gàinián,gǎiniàn,concept,這個文法概念不難。,zhège wénfǎ gàiniàn bù nán.,This grammar concept is not difficult.,B2,education,noun,Core Content,
Taiwan Mandarin,趕,găn ,gǎn,gàn,gān,gán,to rush; to catch up,我得趕作業，不能出去。,"wǒ děi gǎn zuòyè, bù néng chūqù.","I have to rush my homework, so I cannot go out.",B2,actions,verb,Core Content,
Taiwan Mandarin,趕上,gănshàng ,gǎnshàng,gànshàng,gǎnsháng,gánshàng,to catch up with,快一點，不然趕不上火車。,"kuài yìdiǎn, bùrán gǎn bù shàng huǒchē.","Hurry up, or we will not catch the train.",B2,travel,verb,Core Content,
Taiwan Mandarin,感動,găndòng ,gǎndòng,gàndòng,gǎndóng,gándòng,to be moved; touching,這個故事讓我很感動。,zhège gùshi ràng wǒ hěn gǎndòng.,This story moved me deeply.,B2,feelings,verb,Core Content,
Taiwan Mandarin,感想,gănxiăng ,gǎnxiǎng,gànxiǎng,gǎnxiāng,gánxiǎng,thoughts; reflections,看完電影後，請寫下感想。,"kàn wán diànyǐng hòu, qǐng xiě xià gǎnxiǎng.","After watching the movie, please write down your thoughts.",B2,thinking,noun,Core Content,
Taiwan Mandarin,感謝,gănxiè ,gǎnxiè,gànxiè,gǎnxié,gánxiè,to thank; gratitude,我很感謝你的幫忙。,wǒ hěn gǎnxiè nǐ de bāngmáng.,I am very thankful for your help.,B2,communication,verb,Core Content,
Taiwan Mandarin,感興趣,gănxìngqù ,gǎnxìngqù,gànxìngqù,gǎnxíngqù,gǎnxìngqǔ,to be interested in,我對台灣歷史很感興趣。,wǒ duì Táiwān lìshǐ hěn gǎnxìngqù.,I am very interested in Taiwan history.,B2,feelings,verb phrase,Core Content,
Taiwan Mandarin,鋼琴,gāngqín ,gāngqín,gángqín,gāngqìn,gàngqín,piano,她從小學鋼琴。,tā cóngxiǎo xué gāngqín.,She has studied piano since childhood.,B2,arts,noun,Core Content,
Taiwan Mandarin,高速,gāosù ,gāosù,gáosù,gāosú,gàosù,high speed,高速公路上車很多。,gāosù gōnglù shàng chē hěn duō.,There are many cars on the highway.,B2,transportation,adjective,Core Content,
Taiwan Mandarin,搞,găo ,gǎo,gào,gāo,gáo,to do; to make; to handle,你在搞什麼？,nǐ zài gǎo shénme?,What are you doing?,B2,spoken,verb,Core Content,
Taiwan Mandarin,個,ge,ge,gē,gé,gě,general classifier,我想買一個新的背包。,wǒ xiǎng mǎi yí ge xīn de bēibāo.,I want to buy a new backpack.,B2,measure,measure word,Core Content,
Taiwan Mandarin,歌曲,gēqŭ  ,gēqǔ,géqǔ,gēqū,gèqǔ,song,這首歌曲很受年輕人歡迎。,zhè shǒu gēqǔ hěn shòu niánqīngrén huānyíng.,This song is popular with young people.,B2,arts,noun,Core Content,
Taiwan Mandarin,歌星,gēxīng ,gēxīng,géxīng,gēxǐng,gèxīng,singer; pop star,那位歌星下個月要來台北。,nà wèi gēxīng xià ge yuè yào lái Táiběi.,That singer is coming to Taipei next month.,B2,arts,noun,Core Content,
Taiwan Mandarin,隔壁,gébì ,gébì,gěbì,gébí,gēbì,next door,隔壁的鄰居很親切。,gébì de línjū hěn qīnqiè.,The neighbor next door is friendly.,B2,place,noun,Core Content,
Taiwan Mandarin,個人,gèrén ,gèrén,gērén,gèrèn,gěrén,individual; personal,這只是我的個人看法。,zhè zhǐ shì wǒ de gèrén kànfǎ.,This is only my personal opinion.,B2,people,noun,Core Content,
Taiwan Mandarin,個子/個兒,gèzi/gèr,gèzi/gèr,gēzi/gèr,gèzi/gér,gězi/gèr,height; build,他個子很高。,tā gèzi hěn gāo.,He is very tall.,B2,body,noun,Core Content,
Taiwan Mandarin,給,gěi,gěi,gèi,gēi,géi,to give; for; to,老師給了我們很多實用的建議。,lǎoshī gěi le wǒmen hěn duō shíyòng de jiànyì.,The teacher gave us a lot of practical suggestions.,B2,function,verb,Core Content,
Taiwan Mandarin,革命,gémìng ,gémìng,gěmìng,gémíng,gēmìng,revolution,這場革命改變了歷史。,zhè chǎng gémìng gǎibiàn le lìshǐ.,This revolution changed history.,B2,society,noun,Core Content,
Taiwan Mandarin,跟,gēn ,gēn,gén,gěn,gèn,with; and; to follow,我想跟你討論一件事。,wǒ xiǎng gēn nǐ tǎolùn yí jiàn shì.,I want to discuss something with you.,B2,function,preposition,Core Content,
Taiwan Mandarin,根,gēn ,gēn,gén,gěn,gèn,root; classifier for long thin objects,樹根在地下長得很深。,shùgēn zài dìxià zhǎng de hěn shēn.,The tree roots grow deep underground.,B2,nature,noun,Core Content,
Taiwan Mandarin,根據/據,gēnjù/jù ,gēnjù/jù,génjù/jù,gēnjú/jù,gēnjù/jǔ,according to; based on,根據調查，多數學生喜歡這個課程。,"gēnjù diàochá, duōshù xuéshēng xǐhuān zhège kèchéng.","According to the survey, most students like this course.",B2,function,preposition,Core Content,
Taiwan Mandarin,更加,gèngjiā ,gèngjiā,gēngjiā,gèngjiǎ,gěngjiā,even more,下雨以後，天氣更加涼快。,"xià yǔ yǐhòu, tiānqì gèngjiā liángkuài.","After it rained, the weather became even cooler.",B2,function,adverb,Core Content,
Taiwan Mandarin,各式各樣,gèshìgèyàng ,gèshìgèyàng,gēshìgèyàng,gèshígèyàng,gèshìgěyàng,all kinds of,夜市裡有各式各樣的小吃。,yèshì lǐ yǒu gèshìgèyàng de xiǎochī.,There are all kinds of snacks in the night market.,B2,description,phrase,Core Content,
Taiwan Mandarin,各位,gèwèi ,gèwèi,gēwèi,gèwéi,gěwèi,everyone; ladies and gentlemen,各位同學，請安靜。,"gèwèi tóngxué, qǐng ānjìng.","Everyone, please be quiet.",B2,communication,pronoun,Core Content,
Taiwan Mandarin,工廠,gōngchăng ,gōngchǎng,góngchǎng,gōngchāng,gòngchǎng,factory,這家工廠生產電子產品。,zhè jiā gōngchǎng shēngchǎn diànzǐ chǎnpǐn.,This factory produces electronic products.,B2,work,noun,Core Content,
Taiwan Mandarin,公尺,gōngchĭ,gōngchǐ,góngchǐ,gōngchī,gòngchǐ,meter,這條路大約五百公尺。,zhè tiáo lù dàyuē wǔbǎi gōngchǐ.,This road is about five hundred meters.,B2,measure,measure word,Core Content,
Taiwan Mandarin,公分,gōngfēn ,gōngfēn,góngfēn,gōngfěn,gòngfēn,centimeter,這張桌子高八十公分。,zhè zhāng zhuōzi gāo bāshí gōngfēn.,This table is eighty centimeters tall.,B2,measure,measure word,Core Content,
Taiwan Mandarin,功夫,gōngfu ,gōngfu,góngfu,gǒngfu,gòngfu,kung fu; skill,學功夫需要很多練習。,xué gōngfu xūyào hěn duō liànxí.,Learning kung fu requires a lot of practice.,B2,culture,noun,Core Content,
Taiwan Mandarin,公共,gōnggòng ,gōnggòng,gónggòng,gōnggóng,gònggòng,public,公共交通對城市很重要。,gōnggòng jiāotōng duì chéngshì hěn zhòngyào.,Public transportation is important for a city.,B2,society,adjective,Core Content,
Taiwan Mandarin,公斤,gōngjīn ,gōngjīn,góngjīn,gōngjǐn,gòngjīn,kilogram,我買了兩公斤芒果。,wǒ mǎi le liǎng gōngjīn mángguǒ.,I bought two kilograms of mangoes.,B2,measure,measure word,Core Content,
Taiwan Mandarin,工具,gōngjù ,gōngjù,góngjù,gōngjú,gòngjù,tool,修腳踏車需要一些工具。,xiū jiǎotàchē xūyào yìxiē gōngjù.,Repairing a bicycle requires some tools.,B2,objects,noun,Core Content,
Taiwan Mandarin,公克,gōngkè ,gōngkè,góngkè,gōngké,gòngkè,gram,請加五十公克糖。,qǐng jiā wǔshí gōngkè táng.,Please add fifty grams of sugar.,B2,measure,measure word,Core Content,
Taiwan Mandarin,公里,gōnglĭ,gōnglǐ,gónglǐ,gōnglī,gònglǐ,kilometer,我家離學校三公里。,wǒ jiā lí xuéxiào sān gōnglǐ.,My home is three kilometers from school.,B2,measure,measure word,Core Content,
Taiwan Mandarin,功能,gōngnéng ,gōngnéng,góngnéng,gōngnèng,gòngnéng,function; feature,這支手機有很多新功能。,zhè zhī shǒujī yǒu hěn duō xīn gōngnéng.,This phone has many new features.,B2,technology,noun,Core Content,
Taiwan Mandarin,恭喜,gōngxĭ,gōngxǐ,góngxǐ,gōngxī,gòngxǐ,congratulations,恭喜你找到新工作！,gōngxǐ nǐ zhǎodào xīn gōngzuò!,Congratulations on finding a new job!,B2,communication,phrase,Core Content,
Taiwan Mandarin,工業,gōngyè ,gōngyè,góngyè,gōngyé,gòngyè,industry,這個地區的工業很發達。,zhège dìqū de gōngyè hěn fādá.,Industry in this region is well developed.,B2,work,noun,Core Content,
Taiwan Mandarin,公寓,gōngyù ,gōngyù,góngyù,gōngyú,gòngyù,apartment,他租了一間小公寓。,tā zū le yì jiān xiǎo gōngyù.,He rented a small apartment.,B2,housing,noun,Core Content,
Taiwan Mandarin,工作,gōngzuò,gōngzuò,góngzuò,gōngzuó,gòngzuò,work; job,她找到一份新的工作。,tā zhǎodào yí fèn xīn de gōngzuò.,She found a new job.,B2,work,noun,Core Content,
Taiwan Mandarin,共同,gòngtóng ,gòngtóng,gōngtóng,gòngtòng,gǒngtóng,common; together,我們有共同的目標。,wǒmen yǒu gòngtóng de mùbiāo.,We have a common goal.,B2,relationships,adjective,Core Content,
Taiwan Mandarin,貢獻,gòngxiàn ,gòngxiàn,gōngxiàn,gòngxián,gǒngxiàn,contribution; to contribute,他對社會有很大的貢獻。,tā duì shèhuì yǒu hěn dà de gòngxiàn.,He has made a great contribution to society.,B2,society,noun,Core Content,
Taiwan Mandarin,溝通,gōutōng ,gōutōng,góutōng,gōutǒng,gòutōng,communication; to communicate,良好的溝通可以減少誤會。,liánghǎo de gōutōng kěyǐ jiǎnshǎo wùhuì.,Good communication can reduce misunderstandings.,B2,communication,noun,Core Content,
Taiwan Mandarin,夠,gòu ,gòu,gōu,góu,gǒu,enough,這些錢夠買票嗎？,zhèxiē qián gòu mǎi piào ma?,Is this money enough to buy tickets?,B2,quantity,adjective,Core Content,
Taiwan Mandarin,購買,gòumăi ,gòumǎi,gōumǎi,gòumāi,gǒumǎi,to purchase,你可以在網路上購買門票。,nǐ kěyǐ zài wǎnglù shàng gòumǎi ménpiào.,You can purchase tickets online.,B2,shopping,verb,Core Content,
Taiwan Mandarin,姑娘（˙ㄋㄧㄤ）,gūniang,gūniang,gúniang,gǔniang,gùniang,girl; young woman,那位姑娘在店裡幫忙。,nà wèi gūniang zài diàn lǐ bāngmáng.,That young woman is helping in the shop.,B2,people,noun,Core Content,
Taiwan Mandarin,古,gŭ ,gǔ,gù,gū,gú,ancient; old,這個字有古時候的意思。,zhège zì yǒu gǔ shíhou de yìsi.,This character has an ancient meaning.,B2,culture,adjective,Core Content,
Taiwan Mandarin,古代,gŭdài ,gǔdài,gùdài,gǔdái,gúdài,ancient times,古代的人沒有手機。,gǔdài de rén méi yǒu shǒujī.,People in ancient times did not have phones.,B2,history,noun,Core Content,
Taiwan Mandarin,古蹟/跡,gŭjī ,gǔjī,gùjī,gǔjǐ,gújī,historic site,台南有很多古蹟。,Táinán yǒu hěn duō gǔjī.,Tainan has many historic sites.,B2,culture,noun,Core Content,
Taiwan Mandarin,古老,gŭlăo ,gǔlǎo,gùlǎo,gǔlāo,gúlǎo,ancient; very old,這座廟非常古老。,zhè zuò miào fēicháng gǔlǎo.,This temple is very old.,B2,history,adjective,Core Content,
Taiwan Mandarin,顧,gù ,gù,gū,gú,gǔ,to look after; to take care of,工作太忙時，他顧不了家。,"gōngzuò tài máng shí, tā gù bù liǎo jiā.","When work is too busy, he cannot take care of home.",B2,daily life,verb,Core Content,
Taiwan Mandarin,顧客,gùkè ,gùkè,gūkè,gùké,gǔkè,customer,顧客對服務很滿意。,gùkè duì fúwù hěn mǎnyì.,The customers are satisfied with the service.,B2,shopping,noun,Core Content,
Taiwan Mandarin,故意,gùyì ,gùyì,gūyì,gùyí,gǔyì,on purpose; deliberately,他不是故意遲到的。,tā bú shì gùyì chídào de.,He was not late on purpose.,B2,function,adverb,Core Content,
Taiwan Mandarin,刮,guā ,guā,guá,guǎ,guà,to scrape; to shave; wind blows,外面風刮得很大。,wàimiàn fēng guā de hěn dà.,The wind is blowing strongly outside.,B2,weather,verb,Core Content,
