language,word,pronunciation,tone practice,tone distractor 1,tone distractor 2,tone distractor 3,meaning,example sentence,sentence pronunciation,sentence meaning,Level,group,tag,pack,notes
Taiwan Mandarin,漢語,hànyŭ,hànyǔ,hānyǔ,hànyū,hǎnyǔ,Chinese language,他在大學學漢語。,tā zài dàxué xué Hànyǔ.,He studies Chinese at university.,B2,language,noun,Core Content,
Taiwan Mandarin,好,hào ,hào,hāo,háo,hǎo,to like; to be fond of,他好音樂，也好旅行。,"tā hào yīnyuè, yě hào lǚxíng.",He is fond of music and travel.,B2,feelings,verb,Core Content,
Taiwan Mandarin,好好/好好兒,hăohăo/hăohăor,hǎohǎo/hǎohǎor,hàohǎo/hǎohǎor,hǎohāo/hǎohǎor,hǎohǎo/háohǎor,properly; well,你應該好好休息。,nǐ yīnggāi hǎohǎo xiūxi.,You should rest properly.,B2,function,adverb,Core Content,
Taiwan Mandarin,好了,hăole ,hǎole,hàole,hāole,háole,all right; enough,好了，我們開始上課吧。,"hǎole, wǒmen kāishǐ shàngkè ba.","All right, let's start class.",B2,function,phrase,Core Content,
Taiwan Mandarin,和,hé ,hé,hě,hè,hē,and; with,我和朋友一起去博物館。,wǒ hé péngyǒu yìqǐ qù bówùguǎn.,I went to the museum with a friend.,B2,function,conjunction,Core Content,
Taiwan Mandarin,合,hé ,hé,hě,hè,hē,to close; to fit; together,這雙鞋很合我的腳。,zhè shuāng xié hěn hé wǒ de jiǎo.,This pair of shoes fits my feet well.,B2,description,verb,Core Content,
Taiwan Mandarin,合唱,héchàng ,héchàng,hěchàng,hécháng,hēchàng,to sing together; chorus,學生在台上合唱一首歌。,xuéshēng zài tái shàng héchàng yì shǒu gē.,The students sang a song together on stage.,B2,arts,verb,Core Content,
Taiwan Mandarin,黑,hēi,hēi,héi,hěi,hèi,black; dark,天黑了，我們回家吧。,"tiān hēi le, wǒmen huí jiā ba.",It is dark; let's go home.,B2,colors,adjective,Core Content,
Taiwan Mandarin,恨,hèn ,hèn,hēn,hén,hěn,to hate,他恨不得馬上離開。,tā hènbùde mǎshàng líkāi.,He wished he could leave immediately.,B2,feelings,verb,Core Content,
Taiwan Mandarin,恨不得,hènbùde,hènbùde,hēnbùde,hènbúde,hěnbùde,to wish one could,我恨不得現在就去旅行。,wǒ hènbùde xiànzài jiù qù lǚxíng.,I wish I could go traveling right now.,B2,function,phrase,Core Content,
Taiwan Mandarin,紅,hóng,hóng,hǒng,hòng,hōng,red; popular,這位歌星最近很紅。,zhè wèi gēxīng zuìjìn hěn hóng.,This singer is very popular recently.,B2,description,adjective,Core Content,
Taiwan Mandarin,紅包,hóngbāo,hóngbāo,hǒngbāo,hóngbǎo,hōngbāo,red envelope,過年時，小孩會收到紅包。,"guònián shí, xiǎohái huì shōu dào hóngbāo.","During Lunar New Year, children receive red envelopes.",B2,culture,noun,Core Content,
Taiwan Mandarin,紅豆,hóngdòu ,hóngdòu,hǒngdòu,hóngdóu,hōngdòu,red bean,我喜歡紅豆湯。,wǒ xǐhuān hóngdòu tāng.,I like red bean soup.,B2,food,noun,Core Content,
Taiwan Mandarin,紅綠燈,hónglǜdēng ,hónglǜdēng,hǒnglǜdēng,hónglǘdēng,hónglǜdèng,traffic light,過馬路時要看紅綠燈。,guò mǎlù shí yào kàn hónglǜdēng.,"When crossing the road, look at the traffic light.",B2,transportation,noun,Core Content,
Taiwan Mandarin,厚,hòu ,hòu,hōu,hóu,hǒu,thick,這本書很厚。,zhè běn shū hěn hòu.,This book is thick.,B2,description,adjective,Core Content,
Taiwan Mandarin,後,hòu ,hòu,hōu,hóu,hǒu,after; behind,會議後，我們一起吃飯。,"huìyì hòu, wǒmen yìqǐ chīfàn.","After the meeting, we ate together.",B2,time,noun,Core Content,
Taiwan Mandarin,忽然/忽,hūrán/hū,hūrán/hū,húrán/hū,hūràn/hū,hūrán/hù,suddenly,天空忽然下起雨來。,tiānkōng hūrán xià qǐ yǔ lái.,It suddenly started raining.,B2,time,adverb,Core Content,
Taiwan Mandarin,糊塗,hútú ,hútú,hǔtú,hútù,hūtú,confused; muddled,我太累了，腦子有點糊塗。,"wǒ tài lèi le, nǎozi yǒudiǎn hútú.","I am too tired, and my mind is a bit confused.",B2,feelings,adjective,Core Content,
Taiwan Mandarin,互相,hùxiāng ,hùxiāng,hūxiāng,hùxiǎng,hǔxiāng,mutually; each other,同學應該互相幫助。,tóngxué yīnggāi hùxiāng bāngzhù.,Classmates should help each other.,B2,relationships,adverb,Core Content,
Taiwan Mandarin,護照,hùzhào ,hùzhào,hūzhào,hùzháo,hǔzhào,passport,出國以前要檢查護照。,chūguó yǐqián yào jiǎnchá hùzhào.,"Before going abroad, check your passport.",B2,travel,noun,Core Content,
Taiwan Mandarin,黃,huáng,huáng,huǎng,huàng,huāng,yellow,她買了一件黃色外套。,tā mǎi le yí jiàn huángsè wàitào.,She bought a yellow jacket.,B2,colors,adjective,Core Content,
Taiwan Mandarin,花心,huāxīn,huāxīn,huáxīn,huāxǐn,huàxīn,unfaithful in love,他很花心，所以女朋友生氣了。,"tā hěn huāxīn, suǒyǐ nǚpéngyǒu shēngqì le.","He is unfaithful, so his girlfriend got angry.",B2,relationships,adjective,Core Content,
Taiwan Mandarin,花園,huāyuán ,huāyuán,huáyuán,huāyuàn,huàyuán,garden,奶奶每天在花園裡澆花。,nǎinai měitiān zài huāyuán lǐ jiāo huā.,Grandma waters flowers in the garden every day.,B2,place,noun,Core Content,
Taiwan Mandarin,滑雪,huáxuě,huáxuě,huǎxuě,huáxuē,huāxuě,to ski,他冬天想去日本滑雪。,tā dōngtiān xiǎng qù Rìběn huáxuě.,He wants to go skiing in Japan in winter.,B2,sports,verb,Core Content,
Taiwan Mandarin,話題,huàtí ,huàtí,huātí,huàtì,huǎtí,topic,這個話題引起很多討論。,zhège huàtí yǐnqǐ hěn duō tǎolùn.,This topic caused a lot of discussion.,B2,communication,noun,Core Content,
Taiwan Mandarin,化妝品,huàzhuāngpĭn ,huàzhuāngpǐn,huāzhuāngpǐn,huàzhuǎngpǐn,huàzhuāngpín,cosmetics,這家店賣很多台灣化妝品。,zhè jiā diàn mài hěn duō Táiwān huàzhuāngpǐn.,This store sells many Taiwanese cosmetics.,B2,shopping,noun,Core Content,
Taiwan Mandarin,恢復,huīfù ,huīfù,huífù,huīfú,huìfù,to recover; to restore,休息幾天後，他的精神恢復了。,"xiūxi jǐ tiān hòu, tā de jīngshén huīfù le.","After resting for a few days, his energy recovered.",B2,health,verb,Core Content,
Taiwan Mandarin,回,huí ,huí,huǐ,huì,huī,to return; reply; time,請你下課後回我訊息。,qǐng nǐ xiàkè hòu huí wǒ xùnxí.,Please reply to my message after class.,B2,communication,verb,Core Content,
Taiwan Mandarin,回想,huíxiăng ,huíxiǎng,huǐxiǎng,huíxiāng,huīxiǎng,to recall,回想那段日子，我覺得很幸福。,"huíxiǎng nà duàn rìzi, wǒ juéde hěn xìngfú.","When I recall those days, I feel happy.",B2,thinking,verb,Core Content,
Taiwan Mandarin,會,huì ,huì,huī,huí,huǐ,meeting; can; will,這個會大約一小時。,zhège huì dàyuē yì xiǎoshí.,This meeting is about one hour.,B2,work,noun,Core Content,
Taiwan Mandarin,會場,huìchăng ,huìchǎng,huīchǎng,huìchāng,huǐchǎng,meeting place; venue,會場裡已經坐滿了人。,huìchǎng lǐ yǐjīng zuò mǎn le rén.,The venue is already full of people.,B2,events,noun,Core Content,
Taiwan Mandarin,會話,huìhuà ,huìhuà,huīhuà,huìhuá,huǐhuà,conversation,這本書有很多實用會話。,zhè běn shū yǒu hěn duō shíyòng huìhuà.,This book has many practical conversations.,B2,language,noun,Core Content,
Taiwan Mandarin,會議,huìyì ,huìyì,huīyì,huìyí,huǐyì,meeting; conference,下午的會議取消了。,xiàwǔ de huìyì qǔxiāo le.,The afternoon meeting was canceled.,B2,work,noun,Core Content,
Taiwan Mandarin,婚禮,hūnlĭ,hūnlǐ,húnlǐ,hūnlī,hùnlǐ,wedding,他們的婚禮在海邊舉行。,tāmen de hūnlǐ zài hǎibiān jǔxíng.,Their wedding is held by the sea.,B2,relationships,noun,Core Content,
Taiwan Mandarin,婚姻,hūnyīn ,hūnyīn,húnyīn,hūnyǐn,hùnyīn,marriage,幸福的婚姻需要溝通。,xìngfú de hūnyīn xūyào gōutōng.,A happy marriage requires communication.,B2,relationships,noun,Core Content,
Taiwan Mandarin,混亂,hùnluàn ,hùnluàn,hūnluàn,hùnluán,hǔnluàn,chaotic; disorder,地震後，交通一度很混亂。,"dìzhèn hòu, jiāotōng yídù hěn hùnluàn.","After the earthquake, traffic was chaotic for a while.",B2,events,adjective,Core Content,
Taiwan Mandarin,活,huó ,huó,huǒ,huò,huō,alive; to live,這條魚還活著。,zhè tiáo yú hái huózhe.,This fish is still alive.,B2,life,adjective,Core Content,
Taiwan Mandarin,活動,huódòng ,huódòng,huǒdòng,huódóng,huōdòng,activity; event,週末學校有文化活動。,zhōumò xuéxiào yǒu wénhuà huódòng.,The school has a cultural event on the weekend.,B2,events,noun,Core Content,
Taiwan Mandarin,或許,huòxŭ ,huòxǔ,huōxǔ,huòxū,huǒxǔ,perhaps; maybe,或許明天會下雨。,huòxǔ míngtiān huì xià yǔ.,Perhaps it will rain tomorrow.,B2,function,adverb,Core Content,
Taiwan Mandarin,基本,jīběn ,jīběn,jíběn,jībēn,jìběn,basic; fundamental,這是學中文的基本方法。,zhè shì xué Zhōngwén de jīběn fāngfǎ.,This is a basic method for learning Chinese.,B2,education,adjective,Core Content,
Taiwan Mandarin,基礎,jīchŭ  ,jīchǔ,jíchǔ,jīchū,jìchǔ,foundation; basis,發音是語言學習的基礎。,fāyīn shì yǔyán xuéxí de jīchǔ.,Pronunciation is the foundation of language learning.,B2,education,noun,Core Content,
Taiwan Mandarin,激動,jīdòng ,jīdòng,jídòng,jīdóng,jìdòng,excited; emotional,聽到好消息，他非常激動。,"tīngdào hǎo xiāoxí, tā fēicháng jīdòng.","After hearing the good news, he was very excited.",B2,feelings,adjective,Core Content,
Taiwan Mandarin,基督教,Jīdūjiào,Jīdūjiào,Jídūjiào,Jīdǔjiào,Jīdūjiǎo,Christianity,基督教在世界各地都有信徒。,Jīdūjiào zài shìjiè gèdì dōu yǒu xìntú.,Christianity has believers around the world.,B2,culture,proper noun,Core Content,
Taiwan Mandarin,積極,jījí  ,jījí,jíjí,jījì,jìjí,positive; active,她用積極的態度面對困難。,tā yòng jījí de tàidù miànduì kùnnán.,She faces difficulties with a positive attitude.,B2,character,adjective,Core Content,
Taiwan Mandarin,激烈,jīliè  ,jīliè,jíliè,jīlié,jìliè,intense; fierce,這場比賽非常激烈。,zhè chǎng bǐsài fēicháng jīliè.,This game was very intense.,B2,description,adjective,Core Content,
Taiwan Mandarin,機器,jīqì,jīqì,jíqì,jīqí,jìqì,machine,這台機器壞了，需要修理。,"zhè tái jīqì huài le, xūyào xiūlǐ.",This machine is broken and needs repair.,B2,technology,noun,Core Content,
Taiwan Mandarin,及,jí ,jí,jǐ,jì,jī,and; reach; up to,本活動歡迎學生及老師參加。,běn huódòng huānyíng xuéshēng jí lǎoshī cānjiā.,This event welcomes students and teachers.,B2,function,conjunction,Core Content,
Taiwan Mandarin,及時,jíshí ,jíshí,jǐshí,jíshì,jīshí,in time; promptly,他及時趕到車站。,tā jíshí gǎn dào chēzhàn.,He arrived at the station in time.,B2,time,adverb,Core Content,
Taiwan Mandarin,擠,jĭ,jǐ,jì,jī,jí,crowded; to squeeze,捷運上人太多，很擠。,"jiéyùn shàng rén tài duō, hěn jǐ.",There are too many people on the MRT; it is crowded.,B2,description,adjective,Core Content,
Taiwan Mandarin,記,jì ,jì,jī,jí,jǐ,to remember; to record,請記下老師說的重點。,qǐng jì xià lǎoshī shuō de zhòngdiǎn.,Please write down the key points the teacher said.,B2,study,verb,Core Content,
Taiwan Mandarin,記錄,jìlù ,jìlù,jīlù,jìlú,jǐlù,record; to record,我把每天的花費記錄下來。,wǒ bǎ měitiān de huāfèi jìlù xiàlái.,I record my daily expenses.,B2,daily life,verb,Core Content,
Taiwan Mandarin,紀念,jìniàn  ,jìniàn,jīniàn,jìnián,jǐniàn,to commemorate; memory,我們拍照紀念這次旅行。,wǒmen pāizhào jìniàn zhè cì lǚxíng.,We took photos to remember this trip.,B2,life,verb,Core Content,
Taiwan Mandarin,技巧,jìqiăo  ,jìqiǎo,jīqiǎo,jìqiāo,jǐqiǎo,skill; technique,學語言需要一些技巧。,xué yǔyán xūyào yìxiē jìqiǎo.,Learning languages requires some techniques.,B2,education,noun,Core Content,
Taiwan Mandarin,繼續,jìxù ,jìxù,jīxù,jìxú,jǐxù,to continue,請繼續完成你的報告。,qǐng jìxù wánchéng nǐ de bàogào.,Please continue completing your report.,B2,actions,verb,Core Content,
Taiwan Mandarin,記憶,jìyì ,jìyì,jīyì,jìyí,jǐyì,memory,音樂能幫助記憶。,yīnyuè néng bāngzhù jìyì.,Music can help memory.,B2,thinking,noun,Core Content,
Taiwan Mandarin,記者,jìzhě ,jìzhě,jīzhě,jìzhē,jǐzhě,reporter; journalist,記者正在訪問市長。,jìzhě zhèngzài fǎngwèn shìzhǎng.,The reporter is interviewing the mayor.,B2,media,noun,Core Content,
Taiwan Mandarin,家,jiā ,jiā,jiá,jiǎ,jià,specialist; family; home,他是一位有名的畫家。,tā shì yí wèi yǒumíng de huàjiā.,He is a famous painter.,B2,people,suffix,Core Content,
Taiwan Mandarin,架,jià ,jià,jiā,jiá,jiǎ,frame; shelf; classifier for machines,客廳裡有一架鋼琴。,kètīng lǐ yǒu yí jià gāngqín.,There is a piano in the living room.,B2,measure,measure word,Core Content,
Taiwan Mandarin,價格,jiàgé ,jiàgé,jiāgé,jiàgè,jiǎgé,price,這家店的價格比較合理。,zhè jiā diàn de jiàgé bǐjiào hélǐ.,The prices at this shop are fairly reasonable.,B2,shopping,noun,Core Content,
Taiwan Mandarin,肩,jiān ,jiān,jián,jiǎn,jiàn,shoulder,我的右肩有點痛。,wǒ de yòu jiān yǒudiǎn tòng.,My right shoulder hurts a little.,B2,body,noun,Core Content,
Taiwan Mandarin,肩膀,jiānbăng ,jiānbǎng,jiánbǎng,jiānbāng,jiànbǎng,shoulder,她把背包放在肩膀上。,tā bǎ bēibāo fàng zài jiānbǎng shàng.,She put the backpack on her shoulder.,B2,body,noun,Core Content,
Taiwan Mandarin,堅持,jiānchí ,jiānchí,jiánchí,jiānchì,jiànchí,to insist; to persist,他堅持每天練習中文。,tā jiānchí měitiān liànxí Zhōngwén.,He insists on practicing Chinese every day.,B2,goals,verb,Core Content,
Taiwan Mandarin,剪,jiăn ,jiǎn,jiàn,jiān,jián,to cut with scissors,我想去剪頭髮。,wǒ xiǎng qù jiǎn tóufǎ.,I want to go get a haircut.,B2,daily life,verb,Core Content,
Taiwan Mandarin,檢查,jiănchá ,jiǎnchá,jiànchá,jiǎnchà,jiánchá,to inspect; check,出門前請檢查護照。,chūmén qián qǐng jiǎnchá hùzhào.,Please check your passport before going out.,B2,actions,verb,Core Content,
Taiwan Mandarin,將來,jiānglái ,jiānglái,jiánglái,jiānglài,jiànglái,future,將來我想住在台灣。,jiānglái wǒ xiǎng zhù zài Táiwān.,"In the future, I want to live in Taiwan.",B2,time,noun,Core Content,
Taiwan Mandarin,獎學金,jiăngxuéjīn ,jiǎngxuéjīn,jiàngxuéjīn,jiǎngxuèjīn,jiǎngxuéjìn,scholarship,他得到了一筆獎學金。,tā dédào le yì bǐ jiǎngxuéjīn.,He received a scholarship.,B2,education,noun,Core Content,
Taiwan Mandarin,降低,jiàngdī ,jiàngdī,jiāngdī,jiàngdǐ,jiǎngdī,to reduce; to lower,運動可以降低壓力。,yùndòng kěyǐ jiàngdī yālì.,Exercise can reduce stress.,B2,change,verb,Core Content,
Taiwan Mandarin,講話,jiănghuà ,jiǎnghuà,jiànghuà,jiǎnghuá,jiánghuà,to speak; speech,老師講話的速度很快。,lǎoshī jiǎnghuà de sùdù hěn kuài.,The teacher speaks very quickly.,B2,communication,verb,Core Content,
Taiwan Mandarin,講價,jiăngjià ,jiǎngjià,jiàngjià,jiǎngjiá,jiángjià,to bargain,在市場買東西可以講價。,zài shìchǎng mǎi dōngxi kěyǐ jiǎngjià.,You can bargain when shopping at the market.,B2,shopping,verb,Core Content,
Taiwan Mandarin,講究,jiăngjiù ,jiǎngjiù,jiàngjiù,jiǎngjiú,jiángjiù,to be particular about,這家餐廳很講究食材。,zhè jiā cāntīng hěn jiǎngjiù shícái.,This restaurant is very particular about ingredients.,B2,food,verb,Core Content,
Taiwan Mandarin,醬油,jiàngyóu ,jiàngyóu,jiāngyóu,jiàngyòu,jiǎngyóu,soy sauce,炒菜時加一點醬油。,chǎo cài shí jiā yìdiǎn jiàngyóu.,Add a little soy sauce when stir-frying vegetables.,B2,food,noun,Core Content,
